,0,1,2
0,-3.0,10.0,13
1,0.0,12.0,13
2,-1.0,8.0,8
3,4.0,9.0,8
4,8.0,8.0,8
5,8.0,11.0,9
6,5.0,7.0,8
7,6.0,13.0,13
8,2.0,9.0,9
9,1.0,13.0,12
10,1.0,12.0,13
11,-2.0,8.0,9
12,2.0,9.0,9
13,6.0,13.0,13
14,2.0,10.0,10
15,1.0,17.0,17
16,-3.0,7.0,9
17,0.0,12.0,9
18,5.0,9.0,9
19,5.0,11.0,13
20,3.0,13.0,13
21,-1.0,15.0,13
22,-3.0,14.0,13
23,-4.0,9.0,10
24,0.0,10.0,9
25,3.0,11.0,13
26,2.0,7.0,8
27,4.0,10.0,9
28,7.0,11.0,9
29,4.0,9.0,10
30,4.0,7.0,8
31,6.0,12.0,12
32,4.0,12.0,13
33,0.0,8.0,9
34,4.0,10.0,8
35,7.0,10.0,9
36,6.0,9.0,9
37,5.0,10.0,9
38,4.0,10.0,11
39,3.0,12.0,13
40,0.0,12.0,13
41,-1.0,7.0,8
42,5.0,15.0,12
43,3.0,10.0,13
44,1.0,9.0,8
45,4.0,10.0,9
46,7.0,10.0,9
47,5.0,9.0,9
48,5.0,9.0,9
49,5.0,10.0,9
50,4.0,10.0,11
51,3.0,10.0,10
52,2.0,12.0,12
53,1.0,7.0,8
54,4.0,9.0,9
55,7.0,14.0,13
56,1.0,10.0,13
57,0.0,10.0,9
58,3.0,8.0,8
59,8.0,8.0,8
60,9.0,14.0,13
61,3.0,9.0,9
62,2.0,12.0,12
63,3.0,9.0,9
64,3.0,8.0,8
65,7.0,12.0,13
66,4.0,8.0,8
67,4.0,10.0,9
68,7.0,11.0,9
69,4.0,11.0,13
70,2.0,11.0,13
71,0.0,10.0,9
72,3.0,9.0,8
73,7.0,13.0,13
74,3.0,13.0,13
75,-2.0,9.0,9
76,2.0,6.0,8
77,9.0,8.0,9
78,10.0,10.0,8
79,8.0,9.0,8
80,8.0,8.0,8
81,8.0,11.0,9
82,5.0,11.0,13
83,2.0,17.0,17
84,-6.0,8.0,9
85,-1.0,11.0,9
86,5.0,11.0,13
87,3.0,8.0,8
88,4.0,13.0,12
89,4.0,11.0,13
90,1.0,14.0,13
91,-1.0,10.0,9
92,2.0,8.0,8
93,7.0,10.0,9
94,6.0,10.0,9
95,4.0,12.0,13
96,1.0,10.0,13
97,0.0,13.0,13
98,0.0,9.0,8
99,4.0,11.0,9
